text,referenced_tweets,id,author_id,edit_history_tweet_ids,created_at,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,in_reply_to_user_id
"RT @BSquaredNetwork: Join B² Network AMA session! 📣

🔸 The AI Boom in Bitcoin Ecosystem 
⏰ 12:00PM UTC, February 23rd
🔗 https://t.co/C8J5aY…","[{'type': 'retweeted', 'id': '1760964360716083620'}]",1760969063797592095,1.4750917111141868e+18,['1760969063797592095'],2024-02-23T10:05:16.000Z,"[{'start': 3, 'end': 19, 'username': 'BSquaredNetwork', 'id': '1597132648521953280'}]",12.0,0.0,0.0,0.0,0.0,0.0,
"The latest report from Ofcom, the Online Nation 2023, reveals something exciting: young people in the UK are leading a big change in how we use technology...
https://t.co/XcI0c9KVmP
#GenerativeAI #GenZ #OnlineNation #Technology https://t.co/3XmmRyT6bG",,1760969047594697140,292340721.0,['1760969047594697140'],2024-02-23T10:05:12.000Z,,0.0,0.0,0.0,0.0,0.0,4.0,
"Decide your metrics Using social media for business means keeping track of what effect your marketing is having on your platform.

Click for more https://t.co/OtrWSudRRE

#out #social #using #socialmedia #post #marketing #entrepreneur #need #might #media #bluestrawberry https://t.co/iz3pSq3H7o",,1760969028992971120,1.3525955933786153e+18,['1760969028992971120'],2024-02-23T10:05:08.000Z,,0.0,0.0,0.0,0.0,0.0,4.0,
"RT @Perpetualmaniac: Yo Gen Genai was the same person project veritas and I blew the whistle on.

What are the chances that not only did go…","[{'type': 'retweeted', 'id': '1760888718205030540'}]",1760969012836475250,1.587608057760174e+18,['1760969012836475250'],2024-02-23T10:05:04.000Z,"[{'start': 3, 'end': 19, 'username': 'Perpetualmaniac', 'id': '18891076'}]",33.0,0.0,0.0,0.0,0.0,0.0,
"RT @edwardlimp: @rovercrc The problem is you mentioned unnecessary things too often, igo (in grok's opinion).

Remember our agreement that…","[{'type': 'retweeted', 'id': '1760967808882762145'}]",1760969012236910672,1.5867504624048742e+18,['1760969012236910672'],2024-02-23T10:05:04.000Z,"[{'start': 3, 'end': 14, 'username': 'edwardlimp', 'id': '1694032671620362240'}, {'start': 16, 'end': 25, 'username': 'rovercrc', 'id': '1353384573435056128'}]",10.0,0.0,0.0,0.0,0.0,0.0,
"Delve into the complexity of establishing governance for enterprise use of GenAI. Beth O'Callahan discusses the legal landscape, the unknowns, and the role of in-house counsel regarding GenAI. https://t.co/W4VtiSZu6W",,1760968905231659430,2189473192.0,['1760968905231659430'],2024-02-23T10:04:38.000Z,,0.0,0.0,0.0,0.0,0.0,4.0,
".@EYnews study explores optimizing #GenAI, #5G potential while balancing #DataEthics and #Governance priorities. As digital leaders balance cutting-edge tech with #Sustainability commitments, a measured approach can realize new benefits. #MWC2024 #BetterWorkingWorld",,1760968857630498981,25868334.0,['1760968857630498981'],2024-02-23T10:04:27.000Z,"[{'start': 1, 'end': 8, 'username': 'EYnews', 'id': '70001932'}]",0.0,1.0,131.0,0.0,1.0,0.0,
#Recogni lève 102 M$ pour s’imposer dans les systèmes d’inférence IA pour l’autonomie intelligente #startup #EdgeAI #automobile #aérospatial #GenAI https://t.co/jKGbVcQ2Ap https://t.co/56krqtlTxv,,1760968822427619688,1192833493.0,['1760968822427619688'],2024-02-23T10:04:19.000Z,,0.0,0.0,2.0,0.0,0.0,70.0,
"RT @BSquaredNetwork: Join B² Network AMA session! 📣

🔸 The AI Boom in Bitcoin Ecosystem 
⏰ 12:00PM UTC, February 23rd
🔗 https://t.co/C8J5aY…","[{'type': 'retweeted', 'id': '1760964360716083620'}]",1760968756715786648,1.5700080988777103e+18,['1760968756715786648'],2024-02-23T10:04:03.000Z,"[{'start': 3, 'end': 19, 'username': 'BSquaredNetwork', 'id': '1597132648521953280'}]",12.0,0.0,0.0,0.0,0.0,0.0,
"RT @BSquaredNetwork: Join B² Network AMA session! 📣

🔸 The AI Boom in Bitcoin Ecosystem 
⏰ 12:00PM UTC, February 23rd
🔗 https://t.co/C8J5aY…","[{'type': 'retweeted', 'id': '1760964360716083620'}]",1760968737640047042,1.5622807412699587e+18,['1760968737640047042'],2024-02-23T10:03:58.000Z,"[{'start': 3, 'end': 19, 'username': 'BSquaredNetwork', 'id': '1597132648521953280'}]",12.0,0.0,0.0,0.0,0.0,0.0,
